2019-12-30 14:24:00.400 [info]  Open map	D:\YDWE\Maps\JFTestMapTrigger\src.w3x
2019-12-30 14:24:00.400 [info]  Loading ui from D:/Git/YDWE/Build/publish/Release/ui/japi
2019-12-30 14:24:00.403 [info]  Loading ui from D:/Git/YDWE/Build/publish/Release/ui/ydwe
2019-12-30 14:24:00.501 [info]  Loading ui from D:/Git/YDWE/Build/publish/Release/ui/ydtrigger
2019-12-30 14:24:00.511 [info]  Loading ui from D:/Git/YDWE/Build/publish/Release/unknownui
2019-12-30 14:24:01.592 [info]  OpenPathAsArchive	Custom_V1
2019-12-30 14:24:01.804 [info]  virtual_mpq 'worldeditdata'
2019-12-30 14:24:01.807 [info]  virtual_mpq 'worldeditstrings'
2019-12-30 14:24:01.825 [info]  virtual_mpq 'triggerdata'
2019-12-30 14:24:01.825 [info]  Loading ui from D:/Git/YDWE/Build/publish/Release/ui/japi
2019-12-30 14:24:01.828 [info]  Loading ui from D:/Git/YDWE/Build/publish/Release/ui/ydwe
2019-12-30 14:24:01.928 [info]  Loading ui from D:/Git/YDWE/Build/publish/Release/ui/ydtrigger
2019-12-30 14:24:01.938 [info]  Loading ui from D:/Git/YDWE/Build/publish/Release/unknownui
2019-12-30 14:24:01.988 [info]  virtual_mpq 'triggerstrings'
2019-12-30 14:24:07.497 [info]  Open map	D:\YDWE\Maps\JFTestMapTrigger\src\.w3x
2019-12-30 14:24:07.497 [error] ...\Build\publish\Release\script\ydwe\w3x2lni\lniloader.lua:151: 'tostring' must return a string to 'print'
2019-12-30 14:24:15.700 [info]  Open map	D:\YDWE\Maps\JFTestMapTrigger\src.w3x
2019-12-30 14:24:15.700 [info]  Loading ui from D:/Git/YDWE/Build/publish/Release/ui/japi
2019-12-30 14:24:15.703 [info]  Loading ui from D:/Git/YDWE/Build/publish/Release/ui/ydwe
2019-12-30 14:24:15.792 [info]  Loading ui from D:/Git/YDWE/Build/publish/Release/ui/ydtrigger
